,GOLD Analysis Project ID
1165,Ga0075032
1166,Ga0099693
1167,Ga0114268
1168,Ga0491204
1169,Ga0315902
1170,Ga0392290
1171,Ga0115199
1172,Ga0119788
1173,Ga0456303
1174,Ga0484741
1175,Ga0122204
1176,Ga0494052
1177,Ga0485929
1178,Ga0485523
1179,Ga0495431
1180,Ga0066694
1181,Ga0126341
1182,Ga0209952
1183,Ga0111094
1184,Ga0435344
1185,Ga0114890
1186,Ga0136216
1187,Ga0334790
1188,Ga0207466
1189,Ga0208894
1190,Ga0495550
1191,Ga0495408
1192,Ga0122094
1193,Ga0102729
1194,Ga0453149
1195,Ga0453982
1196,Ga0373926
1197,Ga0455888
1198,Ga0498919
1199,Ga0454668
1200,Ga0003604
1201,Ga0118613
1202,Ga0100379
1203,Ga0000816
1204,Ga0183746
1205,Ga0207784
1206,Ga0310736
1207,Ga0210070
1208,Ga0169172
1209,Ga0400282
1210,Ga0006566
1211,Ga0242717
1212,Ga0119992
1213,Ga0311301
1214,Ga0180010
1215,Ga0493935
1216,Ga0168647
1217,Ga0466445
1218,Ga0121047
1219,Ga0180096
1220,Ga0193698
1221,Ga0209854
1222,Ga0157303
1223,Ga0100254
1224,Ga0455842
1225,Ga0209218
1226,Ga0499974
1227,Ga0318512
1228,Ga0111369
1229,Ga0392314
1230,Ga0316602
1231,Ga0010958
1232,Ga0374070
1233,Ga0208935
1234,Ga0190269
1235,Ga0494228
1236,Ga0484824
1237,Ga0242719
1238,Ga0501139
1239,Ga0222639
1240,Ga0116110
1241,Ga0188180
1242,Ga0001998
1243,Ga0188167
1244,Ga0334822
1245,Ga0506530
1246,Ga0428372
1247,Ga0118435
1248,Ga0122784
1249,Ga0209157
1250,Ga0208165
1251,Ga0121659
1252,Ga0450923
1253,Ga0335263
1254,Ga0135257
1255,Ga0077120
1256,Ga0207488
1257,Ga0099549
1258,Ga0099352
1259,Ga0453971
1260,Ga0120768
1261,Ga0122069
1262,Ga0308419
1263,Ga0493995
1264,Ga0497111
1265,Ga0105139
1266,Ga0222718
1267,Ga0209303
1268,Ga0098043
1269,Ga0467029
1270,Ga0209134
1271,Ga0115311
1272,Ga0040890
1273,Ga0217556
1274,Ga0066811
1275,Ga0193998
1276,Ga0237847
1277,Ga0180072
1278,Ga0228632
1279,Ga0366743
1280,Ga0118536
1281,Ga0001987
1282,Ga0376518
1283,Ga0209309
1284,Ga0209630
1285,Ga0066487
1286,Ga0208691
1287,Ga0376693
1288,Ga0135266
1289,Ga0247273
1290,Ga0495630
1291,Ga0376684
1292,Ga0245330
1293,Ga0169678
1294,Ga0157360
1295,Ga0153941
1296,Ga0495531
1297,Ga0495463
1298,Ga0222667
1299,Ga0169684
1300,Ga0055535
1301,Ga0113984
1302,Ga0164301
1303,Ga0066604
1304,Ga0208727
1305,Ga0306866
1306,Ga0118120
1307,Ga0255362
1308,Ga0168032
1309,Ga0497030
1310,Ga0456320
1311,Ga0209847
1312,Ga0265320
1313,Ga0122070
1314,Ga0255136
1315,Ga0120928
1316,Ga0240044
1317,Ga0494187
1318,Ga0454630
1319,Ga0002004
1320,Ga0499539
1321,Ga0003886
1322,Ga0168599
1323,Ga0074649
1324,Ga0245996
1325,Ga0436640
1326,Ga0244799
1327,Ga0256818
1328,Ga0494574
1329,Ga0182202
1330,Ga0435346
1331,Ga0134101
1332,Ga0394154
1333,Ga0115409
1334,Ga0245003
1335,Ga0105969
1336,Ga0208260
1337,Ga0209693
1338,Ga0242714
1339,Ga0075156
1340,Ga0118018
1341,Ga0000189
1342,Ga0316619
1343,Ga0209260
1344,Ga0498758
1345,Ga0213880
1346,Ga0222657
1347,Ga0428469
1348,Ga0435267
1349,Ga0137423
1350,Ga0376083
1351,Ga0255156
1352,Ga0208807
1353,Ga0082212
1354,Ga0395776
1355,Ga0122233
1356,Ga0491445
1357,Ga0334823
1358,Ga0395675
1359,Ga0399894
1360,Ga0182776
1361,Ga0456015
1362,Ga0302210
1363,Ga0113563
1364,Ga0026519
1365,Ga0068478
1366,Ga0484737
1367,Ga0105808
1368,Ga0245305
1369,Ga0497064
1370,Ga0122780
1371,Ga0334833
1372,Ga0136654
1373,Ga0026787
1374,Ga0105248
1375,Ga0314856
1376,Ga0495748
1377,Ga0451655
1378,Ga0121644
1379,Ga0121084
1380,Ga0111541
1381,Ga0455933
1382,Ga0504780
1383,Ga0435314
1384,Ga0041052
1385,Ga0003840
1386,Ga0242823
1387,Ga0026100
1388,Ga0210028
1389,Ga0247695
1390,Ga0065717
1391,Ga0208716
1392,Ga0272434
1393,Ga0209908
1394,Ga0153939
1395,Ga0182009
1396,Ga0307940
1397,Ga0111495
1398,Ga0208456
1399,Ga0209397
1400,Ga0373650
1401,Ga0007842
1402,Ga0255152
1403,Ga0066904
1404,Ga0373624
1405,Ga0069003
1406,Ga0003481
1407,Ga0209984
1408,Ga0119938
1409,Ga0239541
1410,Ga0066837
1411,Ga0115607
1412,Ga0007181
1413,Ga0436475
1414,Ga0484827
1415,Ga0208895
1416,Ga0134350
1417,Ga0000644
1418,Ga0006239
1419,Ga0484720
1420,Ga0207504
1421,Ga0484775
1422,Ga0134434
1423,Ga0451682
1424,Ga0207791
1425,Ga0105076
1426,Ga0135141
1427,Ga0394804
1428,Ga0102893
1429,Ga0208721
1430,Ga0121545
1431,Ga0484844
1432,Ga0001991
1433,Ga0466381
1434,Ga0208547
1435,Ga0208813
1436,Ga0370539
1437,Ga0187786
1438,Ga0498913
1439,Ga0122073
1440,Ga0484748
1441,Ga0209677
1442,Ga0134377
1443,Ga0334841
1444,Ga0307995
1445,Ga0124838
1446,Ga0121476
1447,Ga0224499
1448,Ga0187869
1449,Ga0122010
1450,Ga0207733
1451,Ga0102942
1452,Ga0105544
1453,Ga0376680
1454,Ga0238554
1455,Ga0181363
1456,Ga0026543
1457,Ga0302307
1458,Ga0016756
1459,Ga0307472
1460,Ga0376660
1461,Ga0401351
1462,Ga0183097
1463,Ga0302155
1464,Ga0208583
1465,Ga0377220
1466,Ga0428021
1467,Ga0494458
1468,Ga0245260
1469,Ga0118105
1470,Ga0120239
1471,Ga0485314
1472,Ga0268354
1473,Ga0242800
1474,Ga0188390
1475,Ga0484965
1476,Ga0244097
1477,Ga0455823
1478,Ga0486835
1479,Ga0116144
1480,Ga0121228
1481,Ga0118611
1482,Ga0181430
1483,Ga0223826
1484,Ga0169754
1485,Ga0302226
1486,Ga0450898
1487,Ga0181562
1488,Ga0193971
1489,Ga0326724
1490,Ga0395771
1491,Ga0451661
